timestamp,action,price,shares,amount,fee,capital_after,shares_after,portfolio_value
2025-02-24,hold,0.6429502697415765,0,0.0,0.0,3142.932049855308,3924,5665.868908321254
2025-02-25,hold,0.6278873856539589,0,0.0,0.0,3142.932049855308,3924,5606.7621511614425
2025-02-26,hold,0.5777988307807858,0,0.0,0.0,3142.932049855308,3924,5410.214661839111
2025-02-27,hold,0.55166578609516,0,0.0,0.0,3142.932049855308,3924,5307.668594492716
2025-02-28,hold,0.5062957533915055,0,0.0,0.0,3142.932049855308,3924,5129.636586163575
2025-03-03,hold,0.5301602964419486,0,0.0,0.0,3142.932049855308,3924,5223.281053093515
2025-03-04,hold,0.7460309895826136,0,0.0,0.0,3142.932049855308,3924,6070.357652977484
2025-03-05,hold,0.777064075336911,0,0.0,0.0,3142.932049855308,3924,6192.131481477347
2025-03-06,hold,0.8284229855874523,0,0.0,0.0,3142.932049855308,3924,6393.663845300471
2025-03-07,hold,0.7961195444557866,0,0.0,0.0,3142.932049855308,3924,6266.9051422998145
2025-03-10,hold,0.8038323669403968,0,0.0,0.0,3142.932049855308,3924,6297.170257729425
2025-03-11,hold,0.827606358228791,0,0.0,0.0,3142.932049855308,3924,6390.459399545084
2025-03-12,hold,0.8048305131982113,0,0.0,0.0,3142.932049855308,3924,6301.086983645089
2025-03-12,sell,1.6078802305112474,3924,6309.322024526135,63.09322024526135,9389.160854136182,0,9389.160854136182
